,Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",Total Trihalomethanes
0,08-16-CKS-1,DI water ,8/16/2023 8:15,N,-156.4750032663688,20.89146013081781,,,,,,,,,,3.499,,2.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1,08-16-CKS-2,Tap Water,8/16/2023 9:30,,-156.31188629392474,20.77878220693424,,,,,,,,,,,,2.815,,,,,,,,,,,12.956,,,,,,,,,,,5.961,,,,,,,,,,,3.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.259
2,08-16-CKS-3,Tap Water,8/16/2023 10:52,,-156.30992605885524,20.77990727810373,,,,,,,,,,,,2.842,,,,,,,,,,,12.685,,,,,,,,,,,6.285,,,,,,,,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.803
3,08-16-CKS-4,Tap Water,8/16/2023 11:11,,-156.30748737829003,20.775916225465668,,,,,,,,,,,,2.748,,,,,,,,,,,11.782,,,,,,,,,,,6.171,,,,,,,,,,,3.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.652
4,08-16-CKS-5,Tap Water Filtered,8/16/2023 11:30,,-156.30813498966822,20.778905032043586,,,,,,,,,,,,2.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5,08-16-CKS-6,Tap Water,8/16/2023 12:00,,-156.31039863569563,20.774750813010662,,,,,,,,,,,,2.868,,,,,,,,,,,21.092,,,,,,,,,,,6.923,,,,,,,,,,,3.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.636
6,08-16-CKS-7,Tap Water,8/16/2023 12:22,,-156.3098017061516,20.7730823266856,,,,,,,,17.367,,3.145,,2.778,,,,,,14.842,,,,194.634,2.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.209
7,08-16-CKS-8,Tap Water,8/16/2023 12:53,,-156.3125044833847,20.77864995348061,,,,,,,,,,,,2.821,,,,,,,,,,3.004,17.53,,,,,,,,,,,7.944,,,,,,,,,,,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.709000000000003
8,08-16-CKS-10,Tap Water,8/16/2023 2:24,,-156.32843570944536,20.746903775204483,,,,,,,,,,,,2.74,,,,,,,,,,,28.868,,,,,,,,,,,8.54,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.388
9,08-16-CKS-11,Tap Water,8/16/2023 2:55,,-156.31415787436316,20.74948272616072,,,,,,,,,,,,2.829,,,,,,,,,,,22.495,,,,,,,,,,,7.962,,,,,,,,,,,4.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.466
