Peak Name,Amount
Chloromethane (methyl chloride),4
Chloroethene (vinyl chloride),4
Bromomethane (methyl bromide),4
Chloroethane (ethyl chloride),4
Trichlorofluoromethane,4
Diethyl ether,4
"1,1-Dichloroethene",4
Acetone,8
Iodomethane,4
Carbon disulfide,4
3-Chloropropene (allyl chloride),4
Methylene chloride (DCM),4
"trans-1,2-Dichloroethene",4
Methyl tert-butyl ether (MTBE),4
"1,1-Dichloroethane",4
"2,2-Dichloropropane",4
"cis-1,2-Dichloroethene",4
2-Butanone (MEK),8
Methyl acrylate,4
Methacrylonitrile,4
Bromochloromethane,4
Tetrahydrofuran,4
Trichloromethane (chloroform),4
"1,1,1-Trichloroethane",4
1-Chlorobutane (butyl chloride),4
Carbon tetrachloride,4
"1,1-Dichloropropene",4
Benzene,4
"1,2-Dichloroethane",4
Trichloroethene,4
"1,2-Dichloropropane",4
Dibromomethane,4
Methyl methacrylate,4
Bromodichloromethane,4
2-Nitropropane,4
"cis-1,3-Dichloropropene",4
4-Methyl-2-pentanone (MIBK),8
Toluene,4
"trans-1,3-Dichloropropene",4
Ethyl methacrylate,4
"1,1,2-Trichloroethane",4
Tetrachloroethene,4
"1,3-Dichloropropane",4
2-Hexanone,8
Dibromochloromethane,4
"1,2-Dibromoethane (EDB)",4
Chlorobenzene,4
"1,1,1,2-Tetrachloroethane",4
Ethylbenzene,4
m/p-Xylene,4
o-Xylene,4
Styrene,4
Bromoform,4
Isopropylbenzene (cumene),4
Bromobenzene,4
"1,1,2,2-Tetrachloroethane",4
"1,2,3-Trichloropropane (TCP)",4
"trans-1,4-Dichloro-2-butene",4
n-Propylbenzene,4
2-Chlorotoluene,4
"1,3,5-Trimethylbenzene",4
4-Chlorotoluene,4
tert-Butylbenzene,4
Pentachloroethane,4
"1,2,4-Trimethylbenzene",4
1-Methylpropylbenzene (sec-butylbenzene),4
"1,3-Dichlorobenzene",4
4-Isopropyltoluene (p-cymene),4
"1,4-Dichlorobenzene",4
n-Butylbenzene,4
"1,2-Dichlorobenzene",4
Hexachloroethane,4
"1,2-Dibromo-3-chloropropane (DBCP)",4
Nitrobenzene,4
"1,2,4-Trichlorobenzene",4
"Hexachloro-1,3-butadiene",4
Naphthalene,4
"1,2,3-Trichlorobenzene",4
