Peak,EPA MCLG,EPA MCL,Acute,Short-term,Subchronic,Chronic,Cancer,,All UNITS in,Conversion from mg/L to ppb
Chloromethane (methyl chloride),,,,,,,,,PPB,mg/L x 1000 = ppb
Chloroethene (vinyl chloride),0,2,ND,ND,90,10,0.2,,,
Bromomethane (methyl bromide),,,,,,10,,,,
Chloroethane (ethyl chloride),,,ND,ND,ND,ND,NA,,,
Trichlorofluoromethane,150,,,,,2000,,,,
Diethyl ether,,,,,,,,,,
"1,1-Dichloroethene",,,,,,,,,,
Acetone,,,ND,9000,8000,4000,NA,,,
Iodomethane,,,,,,,,,,
Carbon disulfide,,,,,,700,,,,
3-Chloropropene (allyl chloride),,,,,,30,,,,
Methylene chloride,,,,,,5,,,,
"trans-1,2-Dichloroethene",100,100,ND,ND,50,9,NA,,,
Acrylonitrile,,,,,,,,,,
Methyl tert-butyl ether (MTBE),13,,ND,700,700,700,60,,,
"1,1-Dichloroethane",0,5,ND,400,400,80,NA,,,
"2,2-Dichloropropane",7,7,,,,,,,,
"cis-1,2-Dichloroethene",7,7,ND,20,10,6,NA,,,
2-Butanone (MEK),,,,,,4000,,,,
Propionitrile (ethylcyanide),,,,,,,,,,
Methyl acrylate,,,,,,,,,,
Bromochloromethane,,,,,,,,,,
Tetrahydrofuran,,,ND,600,600,600,ND,,,
Methacrylonitrile,,,,,,,,,,
Trichloromethane (chloroform),70,,ND,20,20,20,NA,,,
"1,1,1-Trichloroethane",200,200,ND,ND,9000,5000,NA,,,
Dibromofluoromethane (SS1),,,,,,,,,,
IS1 Pentafluorobenzene,,,,,,,,,,
Carbon tetrachloride,0,5,100,3,3,3,1,,,
1-Chlorobutane (butyl chloride),,,,,,,,,,
"1,1-Dichloropropene",,,,,,,,,,
Benzene,0,5,10,10,3,3,2,,,
"1,2-Dichloroethane",0,5,ND,200,200,60,1,,,
"IS2 1,4-Difluorobenzene",,,,,,,,,,
Trichloroethene,,,,,,,,,,
"1,2-Dichloropropane",0,5,ND,20,20,20,3,,,
Dibromomethane,,,,,,,,,,
Methyl methacrylate,,,,,,,,,,
Bromodichloromethane,0,,400,30,30,30,3,,,
2-Nitropropane,,,,,,,,,,
Chloroacetonitrile,,,,,,,,,,
"cis-1,3-Dichloropropene",,,,,,,,,,
4-Methyl-2-pentanone (MIBK),,,,,,,,,,
Toluene-d8 (SS2),,,,,,,,,,
Toluene,1000,1000,ND,70,70,70,NA,,,
"trans-1,3-Dichloropropene",3,5,,,,,,,,
Ethyl methacrylate,,,,,,,,,,
"1,1,2-Trichloroethane",3,5,,,,3,,,,
Tetrachloroethene,,,,,,,,,,
"1,3-Dichloropropane",,,,,,,,,,
2-Hexanone,,,,,,,,,,
Dibromochloromethane,60,,,,,10,,,,
"1,2-Dibromoethane (EDB)",,,ND,10,10,9,0.03,,,
IS3 Chlorobenzene-d5,,,,,,,,,,
Chlorobenzene,100,100,,,,100,,,,
"1,1,1,2-Tetrachloroethane",,,,,,70,,,,
Ethylbenzene,700,700,ND,40,40,40,NA,,,
m/p-Xylene,10000,10000,700,300,300,300,NA,,,
o-Xylene,10000,10000,700,300,300,300,NA,,,
Styrene,100,100,,,,,,,,
Bromoform,0,,,,,,40,,,
Isopropylbenzene (cumene),,,,,,300,,,0.005,
"1-Bromo-4-fluorobenzene (BFB,SS3)",,,,,,,,,,
Bromobenzene,,,,,,,,,,
"1,1,2,2-Tetrachloroethane",1,,,,,,2,,,
"1,2,3-Trichloropropane (TCP)",0.005,,7,7,7,7,0.003,,,
"trans-1,4-Dichloro-2-butene",,,,,,,,,,
n-Propylbenzene,,,,,,,,,,
2-Chlorotoluene,,,,,,,,,,
"1,3,5-Trimethylbenzene",,,ND,30,30,30,NA,,,
4-Chlorotoluene,,,,,,,,,,
tert-Butylbenzene,,,,,,,,,,
Pentachloroethane,,,,,,,,,,
"1,2,4-Trimethylbenzene",,,ND,30,30,30,NA,,,
1-Methylpropylbenzene (sec-butylbenzene),,,,,,,,,,
"1,3-Dichlorobenzene",,,,,,,,,,
4-Isopropyltoluene (p-cymene),,,,,,,,,,
"IS4 1,4-Dichlorobenzene-d4",,,,,,,,,,
"1,4-Dichlorobenzene",,,ND,50,50,50,NA,,,
"1,2-Dichlorobenzene",,,,,,600,,,,
n-Butylbenzene,,,,,,,,,,
Hexachloroethane,,,,,,,,,,
"1,2-Dibromo-3-chloropropane (DBCP)",0,0.2,,,,,,,,
Nitrobenzene,,,,,,,,,,
"1,2,4-Trichlorobenzene",70,70,ND,100,100,100,4,,,
"Hexachloro-1,3-butadiene",,,,,,,,,,
Naphthalene,,,70,70,70,70,NA,,,
"1,2,3-Trichlorobenzene",,,,,,,,,,
