,Sample ID,SampleType,DateTime Taken,Public X,Public Y
0,08-16-CKS-1,DI water ,8/16/2023 8:15,-156.47470448063797,20.888809614888252
1,08-16-CKS-2,Tap Water,8/16/2023 9:30,-156.31235288965865,20.775148984319063
2,08-16-CKS-3,Tap Water,8/16/2023 10:52,-156.30725028379408,20.78002412194974
3,08-16-CKS-4,Tap Water,8/16/2023 11:11,-156.30738575040007,20.77793397041788
4,08-16-CKS-5,Tap Water Filtered,8/16/2023 11:30,-156.30833452145515,20.77902072430918
5,08-16-CKS-6,Tap Water,8/16/2023 12:00,-156.31054596714293,20.77514397016671
6,08-16-CKS-7,Tap Water,8/16/2023 12:22,-156.30997663596915,20.773379480581763
7,08-16-CKS-8,Tap Water,8/16/2023 12:53,-156.31265513274838,20.77909514493179
8,08-16-CKS-10,Tap Water,8/16/2023 2:24,-156.3256665986266,20.74421086179129
9,08-16-CKS-11,Tap Water,8/16/2023 2:55,-156.31481130352967,20.74928096009427
10,08-16-CKS-12,Tap Water,8/16/2023 3:46,-156.30947758001332,20.9036780646466
11,08-23-CKS-21A,Tap Water,8/23/2023 10:50,-156.3099667134397,20.77681287478167
12,08-23-CKS-21B,Swimming Pool,8/23/2023 11:09,-156.30985581592648,20.77357071510793
13,08-23-CKS-22,Tap Water,8/23/2023 14:12,-156.3177105595297,20.77947435856976
14,08-23-CKS-23,Tap Water,8/23/2023 14:41,-156.30839389145726,20.773431250446823
15,08-23-CKS-Chris Blank,,8/23/2023,,
16,08-25-CKS-31,Tap Water,8/25/2023 12:54,-156.310352795188,20.773594434412228
17,08-25-CKS-32,Tap Water,8/25/2023 13:04,-156.30623650383563,20.77468437497258
18,08-25-CKS-33,Tap Water,8/25/2023 13:04,-156.30837747590053,20.77577518731121
19,08-25-CKS-34,Tap Water Filtered,8/25/2023 13:04,-156.30908789548798,20.77703323240856
20,08-25-CKS-35,Tap Water,8/25/2023 13:04,-156.31428998103988,20.778786377838788
21,08-29-CKS-41,Tap Water,8/29/2023 9:43,-156.32420823229924,20.759187720527837
22,08-29-CKS-42,Tap Water,8/29/2023 10:47,-156.39810042772777,20.670566097065596
23,08-29-CKS-43,Tap Water,8/29/2023 11:18,-156.40151897907168,20.649765736785422
24,08-29-CKS-44,Tap Water Filtered,8/29/2023 11:30,-156.3979826079203,20.645963166893086
25,08-29-CKS-51,Tap Water,8/29/2023 11:08,-156.30211255767102,20.77906436969955
26,08-29-CKS-52,Tap Water,8/29/2023 11:42,-156.30838272994055,20.771675491319844
