Peak,Reporting_Limit,DIH2O-V2,DIH2O-R5,DIH2O-V3,8-30-23-kellie-1,8-30-23-kellie-2,8-30-23-kellie-3,8-30-23-kellie-4,8-30-23-kellie-6,09-01-CKS-63,09-01-CKS-64,10-02-23-Holmes,9-1-23-Kellie-1,9-1-23-Kellie-2,9-1-23-Kellie-3,9-8-KDP-1,9-8-KDP-2,9-8-KDP-3,9-8-KDP-4,09-11-KDP-1,09-11-KDP-2,09-11-KDP-3,DIH2O-V4
1-Methylpropylbenzene (sec-butylbenzene),2,n.a./n.r.,n.a./n.r.,0.1188,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",2,1.4137,0.4413,0.1943,0.0985,0.0934,0.0734,0.0708,0.0474,0.0421,0.0396,0.0428,0.0293,0.0188,n.a./n.r.,0.0238,0.022,0.0242,0.0206,0.0169,n.a./n.r.,0.015,0.1439
4-Isopropyltoluene (p-cymene) ,2,1.5267,0.4156,0.153,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1172
"1,4-Dichlorobenzene-d4 [IS4]",2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"1,4-Dichlorobenzene",2,1.4343,0.4801,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Butylbenzene,2,2.0416,0.724,0.2882,0.1374,0.1118,0.089,0.0847,0.0626,0.0532,0.0443,n.a./n.r.,0.0441,n.a./n.r.,n.a./n.r.,0.0255,0.0335,n.a./n.r.,n.a./n.r.,0.0211,n.a./n.r.,n.a./n.r.,0.1601
"1,2-Dichlorobenzene",2,1.1181,0.2978,0.1431,0.0791,0.0573,0.0588,0.052,0.0398,0.0327,0.0338,0.025,0.0224,0.0207,0.0278,0.0231,0.0177,n.a./n.r.,0.018,0.0154,0.02,n.a./n.r.,0.1243
Hexachloroethane,2,0.717,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",2,3.062,0.7504,0.3532,0.186,0.1794,0.1296,0.1381,0.0886,0.0789,0.0675,0.0502,0.0414,0.0287,0.0473,0.0405,0.0366,0.0429,0.0321,n.a./n.r.,n.a./n.r.,0.0243,0.3205
"Hexachloro-1,3-butadiene",2,4.0139,0.8645,0.3892,0.188,0.1342,0.1039,0.11,0.0645,0.0516,0.0466,0.0295,0.0335,0.036,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.021,0.0154,n.a./n.r.,n.a./n.r.,0.2874
Naphthalene,2,2.5409,0.4359,0.2115,0.1071,0.0986,0.0689,0.0802,n.a./n.r.,0.046,n.a./n.r.,0.0294,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0289,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.2846
"1,2,3-Trichlorobenzene",2,3.5924,0.7131,0.2982,0.1596,0.1357,0.1039,0.1171,0.0683,0.0674,0.0597,0.0422,n.a./n.r.,0.0252,0.0297,0.0309,0.0341,0.0291,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.023,0.3545
,,,,,,,,,,,,,,,,,,,,,,,
