Peak,Reporting_Limit,DIH2O-V2,DIH2O-R5,DIH2O-V3,8-30-23-kellie-1,8-30-23-kellie-2,8-30-23-kellie-3,8-30-23-kellie-4,8-30-23-kellie-6,09-01-CKS-63,09-01-CKS-64,10-02-23-Holmes,9-1-23-Kellie-1,9-1-23-Kellie-2,9-1-23-Kellie-3,9-8-KDP-1,9-8-KDP-2,9-8-KDP-3,9-8-KDP-4,09-11-KDP-1,09-11-KDP-2,09-11-KDP-3,DIH2O-V4
Chloromethane (methyl chloride),2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Chloroethene (vinyl chloride) ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromomethane (methyl bromide),2,0.2593,0.1632,0.1315,0.1452,n.a./n.r.,n.a./n.r.,0.1335,0.0887,0.1231,0.0791,0.0897,n.a./n.r.,0.1057,0.0955,n.a./n.r.,n.a./n.r.,0.0818,0.0768,n.a./n.r.,n.a./n.r.,0.0734,0.0915
Chloroethane (ethyl chloride),2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Trichlorofluoromethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Diethyl ether,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethene",2,0.1055,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Acetone,3.6,n.a./n.r.,n.a./n.r.,n.a./n.r.,6.1419,29.518,87.7429,15.4507,90.5958,150.2532,n.a./n.r.,n.a./n.r.,94.3832,18.6133,28.1821,7.6458,18.2349,20.3123,33.6507,24.9456,42.3797,51.1349,n.a./n.r.
Iodomethane,2,0.2679,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1088,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0829,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0688,n.a./n.r.,n.a./n.r.,n.a./n.r.
Carbon disulfide,2,0.5161,0.2213,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.5859,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
