Peak,Reporting_Limit,Z-1,W-1,X-1
Chloromethane (methyl chloride),2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Chloroethene (vinyl chloride) ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromomethane (methyl bromide),2,0.0911,0.0964,n.a./n.r.
Chloroethane (ethyl chloride),2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Trichlorofluoromethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Diethyl ether,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Acetone,3.6,22.4625,101.3018,20.0593
Iodomethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Carbon disulfide,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
3-Chloropropene (allyl chloride),2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methylene chloride,2,0.0494,0.1172,0.2837
"trans-1,2-Dichloroethene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methyl tert-butyl ether (MTBE) ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"2,2-Dichloropropane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"cis-1,2-Dichloroethene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
2-Butanone (MEK),3.6,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methyl acrylate,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromochloromethane,2,n.a./n.r.,n.a./n.r.,0.2177
Methacrylonitrile ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Tetrahydrofuran,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Trichloromethane (chloroform),2,2.0825,22.1611,25.0608
"1,1,1-Trichloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Dibromofluoromethane (SS1),n.a.,23.1455,23.7294,21.9717
IS1 Pentafluorobenzene,n.a.,20,20,20
Carbon tetrachloride ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Chlorobutane (butyl chloride),2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloropropene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Benzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dichloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"IS2 1,4-Difluorobenzene",n.a.,20,20,20
Trichloroethene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dichloropropane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Dibromomethane ,2,n.a./n.r.,n.a./n.r.,0.0746
Methyl methacrylate ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromodichloromethane,2,n.a./n.r.,2.5189,5.4012
2-Nitropropane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"cis-1,3-Dichloropropene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Methyl-2-pentanone (MIBK) ,3.6,n.a./n.r.,n.a./n.r.,n.a./n.r.
Toluene-d8 (SS2),n.a.,19.1691,18.7166,19.1919
Toluene,2,0.3266,0.0556,n.a./n.r.
"trans-1,3-Dichloropropene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Ethyl methacrylate ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,2-Trichloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Tetrachloroethene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichloropropane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
2-Hexanone,3.6,n.a./n.r.,0.0132,n.a./n.r.
Dibromochloromethane,2,n.a./n.r.,0.1275,1.7138
"1,2-Dibromoethane (EDB)",2,n.a./n.r.,0.0041,n.a./n.r.
IS3 Chlorobenzene-d5,n.a.,20,20,20
Chlorobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,1,2-Tetrachloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Ethylbenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
m/p-Xylene,2,0.0631,n.a./n.r.,n.a./n.r.
o-Xylene,2,0.0677,n.a./n.r.,n.a./n.r.
Styrene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromoform,2,0.0153,0.0091,0.2081
Isopropylbenzene (cumene) ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1-Bromo-4-fluorobenzene (BFB,SS3)",n.a.,21.6182,21.336,22.0893
Bromobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,2,2-Tetrachloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.
