Peak,Reporting_Limit,DIH2O-Vial,Fridge-Blank,08-16-CKS-3,08-16-CKS-4,08-16-CKS-5,08-16-CKS-6,08-16-CKS-11
1-Chlorobutane (butyl chloride),2,0.128,0.118,0.11,0.108,0.112,0.113,0.112
"1,1-Dichloropropene",2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Benzene,2,0.022,0.015,0.006,0.013,0.015,0.017,0.014
"1,2-Dichloroethane",2,0.022,0.002,0.004,0.003,0.003,0.003,0.004
"IS2 1,4-Difluorobenzene",2,10,10,10,10,10,10,10
Trichloroethene,2,0.037,0.009,0.001,0.005,0.005,0.004,0.003
"1,2-Dichloropropane",2,0.006,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Dibromomethane,2,,,,,,,
Methyl methacrylate,2,,,,,,,
Bromodichloromethane,2,0.013,n.a.,6.285,6.171,0.012,6.923,7.962
2-Nitropropane,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Chloroacetonitrile,2,n.a.,n.a.,0.275,0.228,n.a.,n.a.,0.2
"cis-1,3-Dichloropropene",2,0.044,0.015,n.a.,0.003,n.a.,n.a.,n.a.
4-Methyl-2-pentanone (MIBK),3.6,,,,,,,
Toluene-d8 (SS2),2,9.571,9.746,9.594,9.555,9.659,9.468,9.962
Toluene,2,0.033,0.017,0.014,0.014,0.017,0.016,0.015
"trans-1,3-Dichloropropene",2,0.068,0.026,0.007,0.008,n.a.,0.014,0.007
Ethyl methacrylate,2,,,,,,,
"1,1,2-Trichloroethane",2,0.01,n.a.,n.a.,n.a.,n.a.,n.a.,0.008
Tetrachloroethene,2,0.039,0.016,0.004,0.007,0.005,0.007,0.003
"1,3-Dichloropropane",2,0.02,0.004,n.a.,n.a.,n.a.,0.002,n.a.
2-Hexanone,3.6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Dibromochloromethane,2,0.021,0.005,3.833,3.699,0.007,3.621,4.009
"1,2-Dibromoethane (EDB)",2,0.037,0.01,n.a.,0.005,0.004,0.007,n.a.
IS3 Chlorobenzene-d5,2,10,10,10,10,10,10,10
Chlorobenzene,2,0.051,0.019,0.005,0.008,0.007,0.012,0.006
"1,1,1,2-Tetrachloroethane",2,0.009,0.003,n.a.,n.a.,n.a.,n.a.,n.a.
Ethylbenzene,2,0.049,0.014,0.007,0.01,0.008,0.012,0.011
m/p-Xylene,2,0.054,0.018,0.011,0.012,0.01,0.015,0.017
o-Xylene,2,0.035,0.011,0.01,0.011,0.009,0.012,0.012
Styrene,2,0.061,0.02,0.01,0.01,0.009,0.019,0.011
Bromoform,2,0.022,0.004,0.609,0.59,0.004,0.517,0.542
Isopropylbenzene (cumene),2,,,,,,,
"1-Bromo-4-fluorobenzene (BFB,SS3)",2,10.769,10.685,10.534,10.909,10.93,10.707,10.771
Bromobenzene,2,0.079,0.017,n.a.,0.006,n.a.,0.016,0.007
"1,1,2,2-Tetrachloroethane",2,0.018,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2,3-Trichloropropane (TCP)",2,0.041,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"trans-1,4-Dichloro-2-butene",2,0.039,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
n-Propylbenzene,2,0.096,0.026,0.008,0.011,0.011,0.015,0.008
2-Chlorotoluene,2,0.065,0.012,n.a.,n.a.,n.a.,0.003,0.003
"1,3,5-Trimethylbenzene",2,0.063,0.016,0.008,0.009,0.01,0.011,0.008
4-Chlorotoluene,2,0.092,0.03,0.003,0.012,0.011,0.016,0.01
tert-Butylbenzene,2,0.042,0.007,n.a.,n.a.,n.a.,0.002,n.a.
Pentachloroethane,2,0.021,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2,4-Trimethylbenzene",2,0.087,0.03,0.017,0.022,0.02,0.024,0.027
1-Methylpropylbenzene (sec-butylbenzene),2,0.087,0.018,0.004,0.007,0.004,0.008,0.002
"1,3-Dichlorobenzene",2,0.126,0.044,0.01,0.019,0.017,0.03,0.014
4-Isopropyltoluene (p-cymene),2,,,,,,,
"IS4 1,4-Dichlorobenzene-d4",2,10,10,10,10,10,10,10
"1,4-Dichlorobenzene",2,0.147,0.05,0.014,0.023,0.021,0.029,0.017
"1,2-Dichlorobenzene",2,0.103,0.04,0.015,0.019,0.021,0.025,0.017
n-Butylbenzene,2,0.169,0.048,0.011,0.018,0.018,0.026,0.015
Hexachloroethane,2,0.051,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2-Dibromo-3-chloropropane (DBCP)",2,0.063,0.01,n.a.,n.a.,n.a.,n.a.,n.a.
Nitrobenzene,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"1,2,4-Trichlorobenzene",2,0.287,0.091,0.02,0.037,0.032,0.057,0.03
"Hexachloro-1,3-butadiene",2,0.183,0.059,0.009,0.017,0.016,0.025,0.014
Naphthalene,2,0.263,0.074,0.017,0.031,0.022,0.039,0.047
"1,2,3-Trichlorobenzene",2,0.405,0.109,0.019,0.045,0.036,0.063,0.038
