Peak,09-14-JJ-3 (Tap),09-14-JJ-4 (Filtered),03-05-KDP-05 (Tap),03-05-KDP-07 (Filtered),03-29-KDP-06 (Tap),03-29-KDP-07 (Filtered),03-29-KDP-11 (Tap),03-29-KDP-12 (Filtered),05-04-KDP-02 (Tap),05-04-KDP-01 (Filtered),04.26.KDP.05 (Tap),04.26.KDP.06 (Filtered),05-04-KDP-03 (Tap),05-04-KDP-04 (Filtered),05-04-KDP-05 (Tap),05-04-KDP-06 (Filtered),07-19-KDP-03 (Tap),07-19-KDP-04 (Filtered),08-16-CKS-4 (Tap),08-16-CKS-5 (Filtered),08-25-CKS-33 (Tap),08-25-CKS-34 (Filtered),09-25-KDP-5 (Tap),09-25-KDP-6 (Filtered),10-04-24-KDP-04 (Tap),10-04-24-KDP-05 (Filtered),10-24-KDP-4 (Tap),10-24-KDP-6 (Filtered),10-24-KDP-7 (Tap),10-24-KDP-8 (Filtered),11-15-KDP-5 (Tap),11-15-KDP-6 (Filtered),11-6-KDP-7 (Tap),11-6-KDP-6 (Filtered),11-7-KDP-3 (Tap),11-7-KDP-4 (Filtered),11-8-KDP-1 (Tap),11-8-KDP-2 (Filtered),11-9-KDP-1 (Tap),11-9-KDP-2 (Filtered),12-8-KDP-2 (Tap),12-8-KDP-3 (Filtered),12-8-KDP-4 (Tap),12-8-KDP-5 (Filtered),12-8-KDP-6 (Filtered),02-02-KDP-04 (Tap),02-02-KDP-07 (Filtered),03-29-KDP-09 (Tap),03-29-KDP-10 (Filtered),03-09-KDP-01 (Tap),03-09-KDP-02 (Filtered),11-9-KDP-5 (Tap),11-9-KDP-6 (Filtered),11-9-KDP-7 (Filtered),09-22-KDP-7 (Tap),09-22-KDP-8 (Filtered),04-15-KDP-01 (Tap),04-15-KDP-02 (Filtered),04-15-KDP-03 (Filtered),10-12-24-KDP-01 (Tap),10-12-24-KDP-02 (Tap),10-12-24-KDP-03 (Filtered),03-11-KDP-01 (Tap),03-11-KDP-02 (Filtered),03-11-KDP-03 (Filtered),05-06-KDP-01 (Tap),05-06-KDP-02 (Filtered),05-06-KDP-03 (Filtered)
2-Butanone (MEK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4612,,,,,,2.0961,,2.4563,,,,,,,,,,,,,,,,,,,,,,,,,
Bromochloromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromodichloromethane,3.2612,,,,,,,,4.2459,2.8049,,,3.9487,,5.3247,,4.7918,,6.171,,5.8192,,5.0193,,,,,,,,,,,,,,3.4469,3.3247,,,,,,,,6.368,,,,4.3879,2.5829,,,,6.9603,2.959,,,,,,,,,,,,
Bromoform,,,,,,,,,,,,,,,,,,,,,,,,,3.9714,,,,,,,,,,,,,,,,,,,,,1.3927,,,,,,,,,,,,,,2.0155,,,,,,,,
Carbon disulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloroethene (vinyl chloride),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloromethane (methyl chloride),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.526,,,,,,
Dibromochloromethane,,,,,,,,,1.0218,,,,1.1487,,1.1271,,2.557,,3.699,,1.8606,,,,1.0391,,,,,,,,,,,,1.831,1.1695,,,,,,,,4.4943,,,,,,,,,2.7307,,,,,1.0237,,,,,,,,
Dibromomethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl tert-butyl ether (MTBE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylene chloride (DCM),,,,,,,,,,,,,,,,,,,2.748,2.917,1.4309,1.5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrahydrofuran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4333,,,,,,,,,,,,,,1.0283,1.311,,,,,13.6146,,,,,,,,,,,1.2831,,,1.8314,,
