Original Index,Sample Date,Lab Sample ID,Analyte,Reporting Value,Result,coordinates,x,y
5,9/18/2023,,,All VOCs are ND (Non-detect),,"[-156.316991143009, 20.7793292053194]",-156.316991143009,20.7793292053194
6,8/18/2023,380-60451-4,,All VOCs are ND (Non-detect) ,,"[-156.316783640155, 20.7791396089974]",-156.316783640155,20.7791396089974
6,08/21/2023,380-60451-4,,All VOCs are ND (Non-detect) ,,"[-156.316783640155, 20.7791396089974]",-156.316783640155,20.7791396089974
6,9/11/2023,380-62650-5,,All VOCs are ND (Non-detect) ,,"[-156.316783640155, 20.7791396089974]",-156.316783640155,20.7791396089974
6,9/11/2023,380-62650-6,,All VOCs are ND (Non-detect) ,,"[-156.316783640155, 20.7791396089974]",-156.316783640155,20.7791396089974
6,9/18/2023,,,All VOCs are ND (Non-detect),,"[-156.316783640155, 20.7791396089974]",-156.316783640155,20.7791396089974
8,8/18/2023,380-60461-3,,All VOCs are ND (Non-detect) ,,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
8,08/21/2023,380-60461-3,,All VOCs are ND (Non-detect) ,,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
8,8/31/2023,380-61458-5,,All VOCs are ND (Non-detect) ,,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
8,8/31/2023,380-61458-6,,All VOCs are ND (Non-detect) ,,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
8,9/11/2023,380-62663-5,,All VOCs are ND (Non-detect),,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
8,9/11/2023,380-62663-6,,All VOCs are ND (Non-detect) ,,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
8,9/18/2023,380-63670-3,,All VOCs are ND (Non-detect),,"[-156.310587383719, 20.7746349162674]",-156.310587383719,20.7746349162674
9,8/18/2023,380-61458-14,,All VOCs are ND (Non-detect) ,,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
9,8/31/2023,380-61458-14,,All VOCs are ND (Non-detect) ,,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
9,8/31/2023,380-61458-15,,All VOCs are ND (Non-detect) ,,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
9,9/11/2023,380-62658-5,,All VOCs are ND (Non-detect) ,,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
9,9/11/2023,380-62658-6,,All VOCs are ND (Non-detect) ,,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
9,9/18/2023,380-63670-4,,All VOCs are ND (Non-detect) ,,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
9,9/18/2023,380-63670-5,,All VOCs are ND (Non-detect),,"[-156.308978294051, 20.7740185976067]",-156.308978294051,20.7740185976067
10,8/18/2023,380-60461-4,,All VOCs are ND (Non-detect) ,,"[-156.308792013129, 20.7739722991851]",-156.308792013129,20.7739722991851
10,08/21/2023,380-60461-4,,All VOCs are ND (Non-detect) ,,"[-156.308792013129, 20.7739722991851]",-156.308792013129,20.7739722991851
10,8/31/2023,380-61458-7,,All VOCs are ND (Non-detect) ,,"[-156.308792013129, 20.7739722991851]",-156.308792013129,20.7739722991851
