,Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",Total trihalomethanes (TTHMs)
19,08-29-CKS-41,Tap Water,8/29/2023 9:43:18,,-156.3239285627463,20.756423706704744,,,,,,,,41.9139,,,,,,,,,,,,,,,50.3204,,,,,,,,,,,7.7174,,,,,,,,,,,2.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0942
20,08-29-CKS-42,Tap Water,8/29/2023 10:47:24,,-156.3953591890796,20.66732530390446,,,,,,,,47.4081,,,,,,,,,,,,,,,41.1086,,,,,,,,,,,7.8614,,,,,,,,,,,2.3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3098
21,08-29-CKS-43,Tap Water,8/29/2023 11:18:46,,-156.4017198278236,20.646563537683747,,,,,,,,,,,,,,,,,,,,,,,41.8076,,,,,,,,,,,8.6972,,,,,,,,,,,2.8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3686
22,08-29-CKS-44,Tap Water Filtered,8/29/2023 11:30:42,,-156.4013628179437,20.64625592510134,,,,,,,,,,,,,,,,,,,,,,,2.1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1127
23,08-29-CKS-51,Tap Water,8/29/2023 11:08:27,,-156.29945176857245,20.775928358486365,,,,,,,,4.658,,,,,,,,,,,,,,,29.6559,,,,,,,,,,,6.8627,,,,,,,,,,,2.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7999
24,08-29-CKS-52,Tap Water,8/29/2023 11:42:43,,-156.3047802309504,20.774647602054767,,,,,,,,33.5458,,,,,,,,,,,,,,,47.8843,,,,,,,,,,,6.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.569
25,08-29-CKS-53,Tap Water,8/29/2023 12:12:37,,-156.30617947878682,20.777922408766575,,,,,,,,6.8464,,,,,,,,,,,,,,,24.1796,,,,,,,,,,,4.4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6368
26,08-29-CKS-54,Tap Water,8/29/2023 13:57:27,,-156.30543250157348,20.77435692521912,,,,,,,,7.4621,,,,,,,,,,,,,,,26.5723,,,,,,,,,,,6.84,,,,,,,,,,,2.3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.740399999999994
27,08-29-CKS-55,Tap Water,8/29/2023 14:14:22,,-156.30680592202287,20.777417993185455,,,,,,,,21.6226,,,,,,,,,,,,,,,31.8395,,,,,,,,,,,7.3367,,,,,,,,,,,2.4234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5996
28,56,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
29,8-30-23-KELLIE-1,Tap Water,8/30/2023 11:53:07,,-156.30383261399362,20.77120800680773,,,,,,,,6.1419,,,,,,,,,,,,,,,38.214,,,,,,,,,,,4.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3167
30,8-30-23-KELLIE-2,Tap Water,8/30/2023 12:37:22,,-156.30182353931025,20.768984618953457,,,,,,,,29.518,,,,,,,,,,,,,,,28.7934,,,,,,,,,,,3.7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.549499999999995
31,8-30-23-KELLIE-3,Tap Water,8/30/2023 12:41:14,,-156.30033227201872,20.770398716644124,,,,,,,,87.7429,,,,,,,,,,,,,,,86.2655,,,,,,,,,,,6.8312,,,,,,,,,,,2.1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2372
32,8-30-23-KELLIE-4,Tap Water,8/30/2023 13:36:05,,-156.30332044794753,20.76956820897769,,,,,,,,15.4507,,,,,,,,,,4.9808,,,,2.2292,52.5739,,,,,,,,,,,8.0327,,,,,,,,,,,2.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.686400000000006
33,8-30-23-KELLIE-6,Tap Water,8/30/2023 19:07:32,,-156.31710936977825,20.769876611400647,,,,,,,,90.5958,,,,,,,,,,,,,,,47.9583,,,,,,,,,,,5.3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3484
34,C-1,,08/20/2023 12:17 PM,,-156.31599760267943,20.753761139102657,,,,,,,,53.8494,,,,,,,,,,,,,,,24.4177,,,,,,,,,,,6.6456,,,,,,,,,,,2.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6841
35,D-1,,08/20/2023 1:12 PM,,-156.3288417427332,20.762796080751745,,,,,,,,30.5526,,,,,,,,,,,,,,,47.0307,,,,,,,,,,,8.0918,,,,,,,,,,,2.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0326
36,F-1,,8/20/2023 3:53 PM,,-156.29376157311498,20.82265133656359,,,,,,,,35.1077,,,,,,,,,,38.1744,,,,81.3602,1.6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6467
37,G-1,,08/20/2023 4:12 PM,N,,,,,,,,,,18.8895,,,,,,,,,,,,,,,1.4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4973
38,H-1,,08/21/2023 4:22 PM,N,,,,,,,,,,37.8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
39,S-1,,08/21/2023 2:55 PM,,-156.66954459051388,20.8863405920102,,,,,,,,178.8044,,,,,,,,,,,,,,,7.891,,,,,,,,,,,5.1919,,,,,,,,,,,2.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8617
40,T-1,,08/21/2023 7:54 AM,,-156.33046162408186,20.74805457445565,,,,,,,,161.4542,,,,,,,,,,,,,,,22.018,,,,,,,,,,,6.7952,,,,,,,,,,,2.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4339
41,U-1,,08/21/2023 4:19 PM,,-156.68213324796017,20.902399834441862,,,,,,,,166.6164,,,,,,,,,,,,,,,24.236,,,,,,,,,,,10.8648,,,,,,,,,,,3.5469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6477
42,V-1,,08/21/2023 4:53 PM,,-156.6827871877307,20.90190774865129,,,,,,,,164.8219,,,,,,,,,,,,,,,28.5248,,,,,,,,,,,13.4991,,,,,,,,,,,5.3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3274
43,W-1,,8/20/2023 8:44 PM,,-156.32847322450598,20.763217868355287,,,,,,,,101.3018,,,,,,,,,,,,,,,22.1611,,,,,,,,,,,2.5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.68
44,X-1,,08/20/2023,,-156.33797289316752,20.782059312208236,,,,,,,,20.0593,,,,,,,,,,,,,,,25.0608,,,,,,,,,,,5.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.462
45,09-01-CKS-61,Tap Water,9/1/2023 16:19:07,,-156.66535372110286,20.886045611526097,,,,,,,,,,,,,,,,,,,,,,,10.7601,,,,,,,,,,,2.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2333
46,09-01-CKS-62,Tap Water,9/1/2023 16:30:58,,-156.66687483805796,20.888697623742104,,,,,,,,,,,,,,,,,,,,,1.0367,,19.2347,,,,,,,,,,,7.7422,,,,,,,,,,,3.2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.238599999999998
47,09-01-CKS-63,Tap Water,9/1/2023 17:03:11,,-156.66104364245302,20.85374190326415,,,,,,,,150.2532,,,,,,,,,,282.9737,,,,189.7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9081,,,,,,,,,,,,,,,,,,,,,,,,,,5.9081
48,09-01-CKS-64,Other,9/1/2023 17:07:27,,-156.65676926288808,20.85381279844564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
49,9-1-23-KELLIE-1,Tap Water,9/1/2023 13:22:42,,-156.36197529533146,20.714010676968943,,,,,,,,94.3832,,,,,,,,,,,,,,,43.7588,,,,,,,,,,,8.6495,,,,,,,,,,,2.5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9536
50,9-1-23-KELLIE-2,Tap Water,9/1/2023 14:54:50,,-156.30427233309058,20.768343663428936,,,,,,,,18.6133,,,,,,,,,,,,,,,22.0473,,,,,,,,,,,4.981,,,,,,,,,,,2.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0774
51,9-1-23-KELLIE-3,Tap Water,9/1/2023 14:57:00,,-156.29867162586925,20.77288819518343,,,,,,,,28.1821,,,,,,,,,,,,,,,55.0339,,,,,,,,,,,8.7142,,,,,,,,,,,2.7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5253
52,9-8-KDP-1,Tap Water,9/8/2023 14:23:33,,-156.33023567110683,20.76321620406952,,,,,,,,7.6458,,,,,,,,,,,,,,,47.9921,,,,,,,,,,,8.4607,,,,,,,,,,,2.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1867
53,9-8-KDP-2,Tap Water,9/8/2023 14:33:14,,-156.32955429109327,20.763600870265837,,,,,,,,18.2349,,,,,,,,,,,,,,,31.3874,,,,,,,,,,,4.4183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8057
54,9-8-KDP-3,Tap Water,9/8/2023 14:52:54,,-156.329598909894,20.762511700823868,,,,,,,,20.3123,,,,,,,,,,,,,,,32.4315,,,,,,,,,,,7.4795,,,,,,,,,,,2.6985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6095
55,9-8-KDP-4,Tap Water,9/8/2023 15:10:00,,-156.32580478509743,20.76195785933596,,,,,,,,33.6507,,,,,,,,,,,,,,,34.4919,,,,,,,,,,,7.7328,,,,,,,,,,,2.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0734
56,09-11-KDP-1,Tap Water,9/11/2023 13:50:00,,,,,,,,,,,24.9456,,,,,,,,,,,,,,,20.0432,,,,,,,,,,,3.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6531
57,09-11-KDP-2,Tap Water,9/11/2023 16:16:39,,-156.32416114668587,20.761363877515528,,,,,,,,42.3797,,,,,,,,,,,,,,,37.7502,,,,,,,,,,,7.1232,,,,,,,,,,,2.6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.564
58,09-11-KDP-3,Tap Water,9/11/2023 16:32:46,,-156.3222480985512,20.75611523946506,,,,,,,,51.1349,,,,,,,,,,,,,,,22.5192,,,,,,,,,,,6.7336,,,,,,,,,,,3.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6374
59,9-12-CKS-1,Tap Water,9/12/2023 12:22:43,,-156.68240186906465,20.902249435644492,,,,,,,,35.7756,,,,,,,,,,,,,,,38.878,,,,,,,,,,,16.8789,,,,,,,,,,,7.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8759
60,9-12-CKS-2,Tap Water,9/12/2023 12:38:23,,-156.68277258099067,20.900515697648668,,,,,,,,31.6132,,,,,,,,,,,,,,,37.0073,,,,,,,,,,,14.7643,,,,,,,,,,,5.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9173
61,9-12-CKS-3,Tap Water,9/12/2023 12:59:02,,-156.68505312598876,20.902004495283403,,,,,,,,17.3274,,,,,,,,,,,,,,,34.6152,,,,,,,,,,,13.5636,,,,,,,,,,,4.6346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8134
62,9-12-CKS-4,Tap Water,9/12/2023 13:10:00,,-156.6809136323028,20.902548560575223,,,,,,,,31.4515,,,,,,,,,,,,,,,28.3397,,,,,,,,,,,12.0447,,,,,,,,,,,6.5497,,,,,,,,3.6203,,,,,,,,,,,,,,,,,,,,,,,,,,50.5544
63,09-12-KDP-1,Tap Water,9/12/2023 13:02:37,,-156.32356548927658,20.79034792735182,,,,,,,,22.0753,,,,,,,,,,,,,,,15.7895,,,,,,,,,,,5.6799,,,,,,,,,,,3.2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6801
64,09-12-KDP-2,Tap Water,9/12/2023 13:42:04,,-156.32005306781016,20.789868189665437,,,,,,,,12.1531,,,,,,,,,,,,,,,11.0503,,,,,,,,,,,5.9102,,,,,,,,,,,3.9291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8896
65,09-12-KDP-3,Tap Water,9/12/2023 13:47:00,,-156.32191105888018,20.791869474086493,,,,,,,,12.9927,,,,,,,,,,,,,,,14.7275,,,,,,,,,,,6.7532,,,,,,,,,,,4.2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7121
66,9-14-CKS-1,Tap Water,9/14/2023 12:02:04,,-156.68423301063237,20.882946890832383,,,,,,,,56.2841,,,,,,,,,,,,,,,21.0227,,,,,,,,,,,12.8865,,,,,,,,,,,7.818,,,,,,,,2.0104,,,,,,,,,,,,,,,,,,,,,,,,,,43.7376
67,9-14-CKS-2,Tap Water,9/14/2023 12:29:35,,-156.6632429876395,20.885692922467705,,,,,,,,49.9909,,,,,,,,,,,,,,,8.1223,,,,,,,,,,,6.0837,,,,,,,,,,,3.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.887
68,9-14-CKS-3,Tap Water,9/14/2023 13:07:19,,-156.68854671355408,20.90276405779635,,,,,,,,10.8452,,,,,,,,,,,,,,,20.8773,,,,,,,,,,,12.128,,,,,,,,,,,14.7821,,,,,,,,26.4982,,,,,,,,,,,,,,,,,,,,,,,,,,74.2856
69,9-14-CKS-4,Tap Water,9/14/2023 13:21:08,,-156.6825132726532,20.902460738491246,,,,,,,,77.3711,,,,,,,,,,,,,,,44.1945,,,,,,,,,,,19.3194,,,,,,,,,,,10.595,,,,,,,,3.8466,,,,,,,,,,,,,,,,,,,,,,,,,,77.9555
70,9-14-CKS-5,Tap Water,9/14/2023 14:23:41,,-156.68242176255436,20.899369265787453,,,,,,,,26.4427,,,,,,,,,,,,,,,24.7314,,,,,,,,,,,13.8276,,,,,,,,,,,11.9015,,,,,,,,9.065,,,,,,,,,,,,,,,,,,,,,,,,,,59.5255
71,09-14-CKS-6,Tap Water,9/14/2023 14:55:41,,-156.68447200452812,20.900024272374772,,,,,,,,19.492,,,,,,,,,,,,,,,30.8509,,,,,,,,,,,16.2542,,,,,,,,,,,9.631,,,,,,,,3.7042,,,,,,,,,,,,,,,,,,,,,,,,,,60.4403
72,09-14-JJ-1,Tap Water,9/14/2023 15:56:51,,-156.3239479583725,20.81442520595458,,,,,,,,9.9644,,,,,,,,,,,,,,,17.3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3102
73,09-14-JJ-2,Tap Water,9/14/2023 15:59:40,,-156.32411391674663,20.78530436203953,,,,,,,,44.1191,,,,,,,,,,,,,,,14.9611,,,,,,,,,,,4.5294,,,,,,,,,,,2.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5494
74,9-14-CKS-8,Tap Water,9/14/2023 16:44:32,,-156.68515972175751,20.901539964823385,,,,,,,,35.0683,,,,,,,,,,,,,,,26.6203,,,,,,,,,,,15.8895,,,,,,,,,,,13.0527,,,,,,,,9.4304,,,,,,,,,,,,,,,,,,,,,,,,,,64.99289999999999
75,09-14-JJ-3,Tap Water,9/14/2023 17:26:42,,-156.32502134380405,20.78876901470376,,,,,,,,61.4747,,,,,,,,,,,,,,,7.6791,,,,,,,,,,,3.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9403
76,09-14-JJ-4,Tap Water Filtered,9/14/2023 17:27:53,,-156.3220393665579,20.7889352726382,,,,,,,,24.1723,,,,,,,,,,,,,,,14.8801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8801
77,09-14-KDP-1,Tap Water,9/15/2023 11:58:19,,-156.33640746826225,20.752220455376147,,,,,,,,14.7998,,,,,,,,,,,,,,,7.9832,,,,,,,,,,,5.5203,,,,,,,,,,,4.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5806
78,09-14-KDP-2,Tap Water,9/15/2023 12:15:36,,-156.3365402804725,20.753234424652646,,,,,,,,9.2055,,,,,,,,,,,,,,,28.663,,,,,,,,,,,4.2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8793
79,09-14-KDP-3,Tap Water,9/15/2023 12:43:11,,-156.33291215327904,20.753171031259036,,,,,,,,9.7513,,,,,,,,,,,,,,2.8817,7.4954,,,,,,,,,,,2.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6406
80,09-14-KDP-4,Tap Water,9/15/2023 12:55:05,,-156.328535287767,20.748499775504065,,,,,,,,10.5962,,,,,,,,,,,,,,,6.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5544
81,09-14-KDP-5,Tap Water,9/15/2023 13:00:00,,,,,,,,,,,5.1135,,,,,,,,,,,,,,,38.2884,,,,,,,,,,,9.7821,,,,,,,,,,,4.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8888
82,09-18-KDP-1,Tap Water,9-18-23 4:05:00 AM,,-156.30889760306482,20.77817928355249,,,,,,,,15.5967,,,,,,,,,,,,,,,27.6707,,,,,,,,,,,7.4033,,,,,,,,,,,3.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1167
