Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",SampleType_clean,Total trihalomethanes (TTHMs)
08-16-CKS-2,Tap Water,2023-08-16 09:30:00,,-156.31469891295163,20.778645083401813,,,,,,,,,,,,2.815,,,,,,,,,,,12.956,,,,,,,,,,,5.961,,,,,,,,,,,3.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,22.259
08-16-CKS-3,Tap Water,2023-08-16 10:52:00,,-156.30723261533666,20.776296164252052,,,,,,,,,,,,2.842,,,,,,,,,,,12.685,,,,,,,,,,,6.285,,,,,,,,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,22.803
08-16-CKS-4,Tap Water,2023-08-16 11:11:00,,-156.30764237816408,20.77818789164569,,,,,,,,,,,,2.748,,,,,,,,,,,11.782,,,,,,,,,,,6.171,,,,,,,,,,,3.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,21.652
08-16-CKS-6,Tap Water,2023-08-16 12:00:00,,-156.31040295282406,20.77822392203184,,,,,,,,,,,,2.868,,,,,,,,,,,21.092,,,,,,,,,,,6.923,,,,,,,,,,,3.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,31.636
08-16-CKS-7,Tap Water,2023-08-16 12:22:00,,-156.31280671413953,20.77297929808723,,,,,,,,17.367,,3.145,,2.778,,,,,,14.842,,,,194.634,2.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,2.209
08-16-CKS-8,Tap Water,2023-08-16 12:53:00,,-156.31013471014137,20.77842432302931,,,,,,,,,,,,2.821,,,,,,,,,,3.004,17.53,,,,,,,,,,,7.944,,,,,,,,,,,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,29.709000000000003
08-16-CKS-10,Tap Water,2023-08-16 02:24:00,,-156.3255345659279,20.743648971143,,,,,,,,,,,,2.74,,,,,,,,,,,28.868,,,,,,,,,,,8.54,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,41.388
08-16-CKS-11,Tap Water,2023-08-16 02:55:00,,-156.31407983887385,20.75240710015802,,,,,,,,,,,,2.829,,,,,,,,,,,22.495,,,,,,,,,,,7.962,,,,,,,,,,,4.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,34.466
08-16-CKS-12,Tap Water,2023-08-16 03:46:00,,-156.30701676515113,20.906158164335228,,,,,,,,,,,,2.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,0.0
08-23-CKS-21A,Tap Water,2023-08-23 10:50:00,,-156.30964496202753,20.776768616378423,,,,,,,,18.3558,,3.0291,,,,,,,,10.5283,,,,216.9879,1.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tap water,1.6109
