,Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",City,Total Trihalomethanes
26,8-30-23-kellie-4,Tap Water,8/30/2023 13:36:05,,-156.30332044794753,20.76956820897769,,,,,,,,15.4507,,,,,,,,,,4.9808,,,,2.2292,52.5739,,,,,,,,,,,8.0327,,,,,,,,,,,2.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,62.686400000000006
27,8-30-23-kellie-6,Tap Water,8/30/2023 19:07:32,,-156.31710936977825,20.769876611400647,,,,,,,,90.5958,,,,,,,,,,,,,,,47.9583,,,,,,,,,,,5.3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,53.3484
28,09-01-CKS-61,Tap Water,9/1/2023 16:19:07,,-156.66535372110286,20.886045611526097,,,,,,,,,,,,,,,,,,,,,,,10.7601,,,,,,,,,,,2.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,13.2333
29,09-01-CKS-62,Tap Water,9/1/2023 16:30:58,,-156.66687483805796,20.888697623742104,,,,,,,,,,,,,,,,,,,,,1.0367,,19.2347,,,,,,,,,,,7.7422,,,,,,,,,,,3.2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,30.238599999999998
30,09-01-CKS-63,Tap Water,9/1/2023 17:03:11,,-156.66104364245302,20.853741903264154,,,,,,,,150.2532,,,,,,,,,,282.9737,,,,189.7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9081,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,5.9081
31,9-1-23-Kellie-1,Tap Water,9/1/2023 13:22:42,,-156.36197529533146,20.714010676968943,,,,,,,,94.3832,,,,,,,,,,,,,,,43.7588,,,,,,,,,,,8.6495,,,,,,,,,,,2.5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,54.9536
32,9-1-23-Kellie-2,Tap Water,9/1/2023 14:54:50,,-156.30427233309058,20.768343663428936,,,,,,,,18.6133,,,,,,,,,,,,,,,22.0473,,,,,,,,,,,4.981,,,,,,,,,,,2.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,29.0774
33,9-1-23-Kellie-3,Tap Water,9/1/2023 14:57:00,,-156.29867162586925,20.772888195183437,,,,,,,,28.1821,,,,,,,,,,,,,,,55.0339,,,,,,,,,,,8.7142,,,,,,,,,,,2.7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,66.5253
34,9-8-KDP-1,Tap Water,9/8/2023 14:23:33,,-156.33023567110683,20.76321620406952,,,,,,,,7.6458,,,,,,,,,,,,,,,47.9921,,,,,,,,,,,8.4607,,,,,,,,,,,2.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,59.1867
35,9-8-KDP-2,Tap Water,9/8/2023 14:33:14,,-156.32955429109327,20.76360087026584,,,,,,,,18.2349,,,,,,,,,,,,,,,31.3874,,,,,,,,,,,4.4183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,35.8057
36,9-8-KDP-3,Tap Water,9/8/2023 14:52:54,,-156.329598909894,20.762511700823868,,,,,,,,20.3123,,,,,,,,,,,,,,,32.4315,,,,,,,,,,,7.4795,,,,,,,,,,,2.6985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,42.6095
37,9-8-KDP-4,Tap Water,9/8/2023 15:10:00,,-156.32580478509743,20.76195785933596,,,,,,,,33.6507,,,,,,,,,,,,,,,34.4919,,,,,,,,,,,7.7328,,,,,,,,,,,2.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,45.0734
38,09-11-KDP-1,Tap Water,9/11/2023 13:50:00,,,,,,,,,,,24.9456,,,,,,,,,,,,,,,20.0432,,,,,,,,,,,3.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outside of Boxes,23.6531
39,09-11-KDP-2,Tap Water,9/11/2023 16:16:39,,-156.32416114668587,20.761363877515528,,,,,,,,42.3797,,,,,,,,,,,,,,,37.7502,,,,,,,,,,,7.1232,,,,,,,,,,,2.6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,47.564
40,09-11-KDP-3,Tap Water,9/11/2023 16:32:46,,-156.3222480985512,20.75611523946506,,,,,,,,51.1349,,,,,,,,,,,,,,,22.5192,,,,,,,,,,,6.7336,,,,,,,,,,,3.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,32.6374
41,9-12-CKS-1,Tap Water,9/12/2023 12:22:43,,-156.68240186906465,20.90224943564449,,,,,,,,35.7756,,,,,,,,,,,,,,,38.878,,,,,,,,,,,16.8789,,,,,,,,,,,7.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,62.8759
42,9-12-CKS-2,Tap Water,9/12/2023 12:38:23,,-156.68277258099067,20.900515697648668,,,,,,,,31.6132,,,,,,,,,,,,,,,37.0073,,,,,,,,,,,14.7643,,,,,,,,,,,5.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,56.9173
43,9-12-CKS-3,Tap Water,9/12/2023 12:59:02,,-156.68505312598876,20.902004495283403,,,,,,,,17.3274,,,,,,,,,,,,,,,34.6152,,,,,,,,,,,13.5636,,,,,,,,,,,4.6346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,52.8134
44,9-12-CKS-4,Tap Water,9/12/2023 13:10:00,,-156.6809136323028,20.902548560575223,,,,,,,,31.4515,,,,,,,,,,,,,,,28.3397,,,,,,,,,,,12.0447,,,,,,,,,,,6.5497,,,,,,,,3.6203,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,50.5544
45,09-12-KDP-1,Tap Water,9/12/2023 13:02:37,,-156.32356548927658,20.79034792735182,,,,,,,,22.0753,,,,,,,,,,,,,,,15.7895,,,,,,,,,,,5.6799,,,,,,,,,,,3.2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,24.6801
46,09-12-KDP-2,Tap Water,9/12/2023 13:42:04,,-156.32005306781016,20.78986818966544,,,,,,,,12.1531,,,,,,,,,,,,,,,11.0503,,,,,,,,,,,5.9102,,,,,,,,,,,3.9291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,20.8896
47,09-12-KDP-3,Tap Water,9/12/2023 13:47:00,,-156.32191105888018,20.791869474086493,,,,,,,,12.9927,,,,,,,,,,,,,,,14.7275,,,,,,,,,,,6.7532,,,,,,,,,,,4.2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,25.7121
48,9-14-Cks-1,Tap Water,9/14/2023 12:02:04,,-156.68423301063237,20.882946890832383,,,,,,,,56.2841,,,,,,,,,,,,,,,21.0227,,,,,,,,,,,12.8865,,,,,,,,,,,7.818,,,,,,,,2.0104,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,43.7376
49,9-14-CKS-2,Tap Water,9/14/2023 12:29:35,,-156.6632429876395,20.885692922467705,,,,,,,,49.9909,,,,,,,,,,,,,,,8.1223,,,,,,,,,,,6.0837,,,,,,,,,,,3.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,17.887
50,9-14-Cks-3,Tap Water,9/14/2023 13:07:19,,-156.68854671355408,20.90276405779635,,,,,,,,10.8452,,,,,,,,,,,,,,,20.8773,,,,,,,,,,,12.128,,,,,,,,,,,14.7821,,,,,,,,26.4982,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,74.2856
51,9-14-CKS-4,Tap Water,9/14/2023 13:21:08,,-156.6825132726532,20.902460738491246,,,,,,,,77.3711,,,,,,,,,,,,,,,44.1945,,,,,,,,,,,19.3194,,,,,,,,,,,10.595,,,,,,,,3.8466,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,77.9555
52,9-14-Cks-5,Tap Water,9/14/2023 14:23:41,,-156.68242176255436,20.899369265787453,,,,,,,,26.4427,,,,,,,,,,,,,,,24.7314,,,,,,,,,,,13.8276,,,,,,,,,,,11.9015,,,,,,,,9.065,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,59.5255
53,09-14-Cks-6,Tap Water,9/14/2023 14:55:41,,-156.68447200452812,20.90002427237477,,,,,,,,19.492,,,,,,,,,,,,,,,30.8509,,,,,,,,,,,16.2542,,,,,,,,,,,9.631,,,,,,,,3.7042,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,60.4403
54,09-14-JJ-1,Tap Water,9/14/2023 15:56:51,,-156.3239479583725,20.81442520595458,,,,,,,,9.9644,,,,,,,,,,,,,,,17.3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outside of Boxes,17.3102
55,09-14-JJ-2,Tap Water,9/14/2023 15:59:40,,-156.32411391674663,20.78530436203953,,,,,,,,44.1191,,,,,,,,,,,,,,,14.9611,,,,,,,,,,,4.5294,,,,,,,,,,,2.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,21.5494
56,9-14-CKS-8,Tap Water,9/14/2023 16:44:32,,-156.68515972175751,20.901539964823385,,,,,,,,35.0683,,,,,,,,,,,,,,,26.6203,,,,,,,,,,,15.8895,,,,,,,,,,,13.0527,,,,,,,,9.4304,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,64.99289999999999
57,09-14-JJ-3,Tap Water,9/14/2023 17:26:42,,-156.32502134380405,20.78876901470376,,,,,,,,61.4747,,,,,,,,,,,,,,,7.6791,,,,,,,,,,,3.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,10.9403
58,09-14-KDP-1,Tap Water,9/15/2023 11:58:19,,-156.33640746826225,20.752220455376147,,,,,,,,14.7998,,,,,,,,,,,,,,,7.9832,,,,,,,,,,,5.5203,,,,,,,,,,,4.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,17.5806
59,09-14-KDP-2,Tap Water,9/15/2023 12:15:36,,-156.3365402804725,20.753234424652646,,,,,,,,9.2055,,,,,,,,,,,,,,,28.663,,,,,,,,,,,4.2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,32.8793
60,09-14-KDP-3,Tap Water,9/15/2023 12:43:11,,-156.33291215327904,20.75317103125904,,,,,,,,9.7513,,,,,,,,,,,,,,2.8817,7.4954,,,,,,,,,,,2.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,9.6406
61,09-14-KDP-4,Tap Water,9/15/2023 12:55:05,,-156.328535287767,20.748499775504065,,,,,,,,10.5962,,,,,,,,,,,,,,,6.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,6.5544
62,09-14-KDP-5,Tap Water,9/15/2023 13:00:00,,,,,,,,,,,5.1135,,,,,,,,,,,,,,,38.2884,,,,,,,,,,,9.7821,,,,,,,,,,,4.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outside of Boxes,52.8888
63,09-18-KDP-1,Tap Water,9-18-23 4:05:00 AM,,-156.30889760306482,20.77817928355249,,,,,,,,15.5967,,,,,,,,,,,,,,,27.6707,,,,,,,,,,,7.4033,,,,,,,,,,,3.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,38.1167
64,09-19-KDP-1,Tap Water,9/19/2023 12:25:08,,-156.3291603319116,20.755718509312352,,,,,,,,9.1831,,,,,,,,,,,,,,109.8697,71.403,,,,,,,,,,,6.9835,,,,,,,,,,,2.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,80.59530000000001
65,09-19-KDP-3,Tap Water,9/19/2023 13:33:04,,-156.306727272376,20.77798278329246,,,,,,,,11.6492,,,,,,,,,,,,,,,12.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,12.1458
66,09-22-KDP-3,Tap Water,9/22/2023 14:05:40,,-156.3303748599226,20.73903687160969,,,,,,,,17.6695,,,,,,,,,,,,,,,14.7691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,14.7691
67,09-22-KDP-4,Tap Water,9/22/2023 14:47:39,,-156.30267427678294,20.75738345018076,,,,,,,,,,,,,,,,,,,,,,,11.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,11.9323
68,09-22-KDP-5,Tap Water,9/22/2023 14:49:46,,-156.30995005978164,20.77715294761833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0653,,,,,,,,,,,4.6744,,,,,,,,7.3138,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,14.0535
69,09-22-KDP-1,Tap Water,9/22/2023 14:50:58,,-156.30759529479062,20.77562072812548,,,,,,,,6.4024,,,,,,,,,,,,,,11.3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,0.0
70,09-22-KDP-6,Tap Water,9/22/2023 15:10:57,,-156.30587063355858,20.758415719247857,,,,,,,,13.2604,,,,,,,,,,,,,,,3.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,3.1988
71,09-22-KDP-7,Tap Water,9/22/2023 15:37:53,,-156.30676373999654,20.761002934933188,,,,,,,,12.6027,,,,,,,,,,,,,,,74.2369,,,,,,,,,,,6.9603,,,,,,,,,,,2.7307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,83.92790000000001
72,09-25-KDP-2,Tap Water,9/25/2023 14:30:28,,-156.30132256062734,20.76028048856493,,,,,,,,,,,,,,,,,,10.0282,,,,12.8605,10.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,10.8977
73,09-25-KDP-3,Tap Water,9/25/2023 15:10:37,,-156.3120262926036,20.77620498150107,,,,,,,,,,,,,,,,,,,,,,,31.2233,,,,,,,,,,,8.0684,,,,,,,,,,,3.1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,42.4775
74,09-26-JI-1,Tap Water,9/26/2023 9:37:03,,-156.68013262709852,20.90116932162488,,,,,,,,13.2191,,,,,,,,,,,,,,,39.3599,,,,,,,,,,,16.2939,,,,,,,,,,,12.0569,,,,,,,,7.2331,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,74.94380000000001
75,09-26-JI-3,Tap Water,9/26/2023 10:00:29,,-156.67989309870617,20.8990386155032,,,,,,,,,,,,,,,,,,,,,,,35.7749,,,,,,,,,,,14.8348,,,,,,,,,,,10.5622,,,,,,,,6.6803,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,67.85220000000001
76,09-26-JI-4,Tap Water,9/26/2023 10:10:43,,-156.68295730947864,20.902329568458704,,,,,,,,,,,,,,,,,,,,,,,35.4002,,,,,,,,,,,15.3078,,,,,,,,,,,11.2005,,,,,,,,8.0116,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,69.92009999999999
77,09-26-JI-5,Tap Water,9/26/2023 10:22:00,,-156.68129758713883,20.90246080259808,,,,,,,,5.1842,,,,,,,,,,,,,,,45.0083,,,,,,,,,,,17.1247,,,,,,,,,,,10.2074,,,,,,,,4.4864,,,,,,,,,,,,,,,,,,,,,,,,,,Lahaina,76.82679999999999
