,Peak,HolmesTap,1,2,7,8,10,12
0,Chloromethane (methyl chloride),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1,Chloroethene (vinyl chloride),,,,,,,
2,Bromomethane (methyl bromide),0.138,0.182,0.182,n.a.,0.244,0.248,0.234
3,Chloroethane (ethyl chloride),n.a.,0.039,n.a.,0.041,n.a.,0.156,n.a.
4,Trichlorofluoromethane,0.007,0.001,n.a.,n.a.,n.a.,n.a.,n.a.
5,Diethyl ether,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,"1,1-Dichloroethene",0.01,n.a.,n.a.,n.a.,n.a.,0.002,n.a.
7,Acetone,1.676,1.27,1.824,17.367,1.968,2.04,3.027
8,Iodomethane,0.214,0.118,0.136,0.17,0.13,0.062,0.155
9,Carbon disulfide,0.446,3.499,0.188,3.145,0.174,0.123,0.245
10,3-Chloropropene (allyl chloride),n.a.,n.a.,0.025,n.a.,n.a.,0.053,n.a.
11,Methylene chloride,6.066,2.782,2.815,2.778,2.821,2.74,2.827
12,"trans-1,2-Dichloroethene",0.06,0.003,0.007,0.02,0.003,0.004,0.006
13,Acrylonitrile,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,Methyl tert-butyl ether (MTBE),,,,,,,
15,"1,1-Dichloroethane",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,"2,2-Dichloropropane",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,"cis-1,2-Dichloroethene",0.026,n.a.,n.a.,n.a.,n.a.,n.a.,0.002
18,2-Butanone (MEK),n.a.,n.a.,n.a.,14.842,1.147,0.41,0.117
19,Propionitrile (ethylcyanide),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Methyl acrylate,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Bromochloromethane,0.007,n.a.,n.a.,0.088,n.a.,n.a.,n.a.
22,Tetrahydrofuran,n.a.,n.a.,n.a.,194.634,3.004,0.486,0.057
23,Methacrylonitrile,,,,,,,
24,Trichloromethane (chloroform),0.012,0.032,12.956,2.209,17.53,28.868,0.645
25,"1,1,1-Trichloroethane",n.a.,0.001,n.a.,n.a.,n.a.,n.a.,n.a.
26,Dibromofluoromethane (SS1),15.218,15.093,15.198,14.751,15.325,15.052,14.536
27,IS1 Pentafluorobenzene,10,10,10,10,10,10,10
28,Carbon tetrachloride,,,,,,,
29,1-Chlorobutane (butyl chloride),0.137,0.11,0.116,0.122,0.116,0.129,0.112
30,"1,1-Dichloropropene",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,Benzene,0.047,0.026,0.075,0.036,0.052,0.02,0.029
32,"1,2-Dichloroethane",0.021,0.003,0.004,0.008,0.004,0.002,n.a.
33,"IS2 1,4-Difluorobenzene",10,10,10,10,10,10,10
34,Trichloroethene,0.035,0.002,0.003,0.012,0.002,0.002,0.004
35,"1,2-Dichloropropane",0.009,0.013,n.a.,n.a.,n.a.,n.a.,n.a.
36,Dibromomethane,,,,,,,
37,Methyl methacrylate,,,,,,,
38,Bromodichloromethane,0.026,0.009,5.961,0.466,7.944,8.54,0.906
39,2-Nitropropane,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40,Chloroacetonitrile,n.a.,n.a.,0.395,n.a.,0.327,0.181,n.a.
